move, calls, eval 
0, 31075, -7.5600
1, 8632, -4.8900
2, 25791, -7.4800
3, 12224, -4.1300
4, 17231, -8.0500
5, 14771, -4.3100
6, 15438, -7.6800
7, 30874, -4.9900
8, 7813, -8.5500
9, 15186, -5.4800
10, 14887, -7.8700
11, 9218, -3.8900
12, 5218, -6.9700
13, 29, -6.6100
14, 28, -3.9800
15, 6, -11.2900
16, 21, -11.0100
17, 45, -11.6300
18, 28, -4.1200
19, 36, -6.9000
20, 28, -6.6000
21, 46, -12.7700
22, 28, 5.4700
23, 37, 4.9200
24, 39, 8.4300
25, 32, 8.0300
26, 41, 10.5700
27, 36, 8.5800
28, 41, 18.6000
29, 32, -0.7500
30, 25, 5.4700
31, 26, 5.3100
32, 31, 5.4800
33, 32, 5.3700
34, 30, 5.4800
35, 32, 3.9600
36, 35, 7.1000
37, 37, 7.0200
38, 30, 13.5200
39, 25, 13.4500
40, 36, 15.4900
41, 21, 5.1600
42, 32, 5.2700
43, 26, -1.0700
44, 24, -0.9600
45, 28, -0.9800
46, 20, -0.9300
47, 25, -0.9400
48, 22, -0.7800
49, 24, -0.7800
50, 22, -0.2100
51, 16, -0.2200
52, 21, -0.1500
53, 22, -0.1500
54, 23, -0.0600
55, 16, -0.0700
56, 23, 0.0800
57, 23, 0.0900
58, 23, 0.1000
59, 15, 0.1000
60, 22, 0.2800
61, 22, 0.2800
62, 22, 0.8100
63, 17, -0.9900
64, 21, -0.9800
65, 15, -0.9900
66, 20, -0.8400
67, 9, -2.9400
68, 19, -2.9400
69, 25, -13.0900
70, 12, -13.1500
71, 25, -13.3300
72, 11, -13.3500
73, 25, -13.3800
74, 11, -13.2600
75, 25, -13.2800
76, 7, -13.3500
77, 20, -13.3600
78, 7, -12.8800
79, 18, -12.8600
80, 6, -12.9500
81, 18, -13.0200
82, 4, -12.8700
83, 15, -12.8500
84, 4, -12.1800
85, 21, -12.1900
86, 3, -12.3500
87, 15, -12.3400
88, 4, -8.8100
89, 23, -11.4100
