move, calls, eval 
0, 65508, -8.4000
1, 44555, -5.5444
2, 36384, -8.3111
3, 55464, -4.7000
4, 1771832259, -8.8333
5, 45242, -4.9000
6, 1771841292, -8.4222
7, 53352, -5.6556
8, 1771833554, -9.3889
9, 36766, -6.0889
10, 1771841218, -8.6333
11, 31177, -4.4333
12, 1771831476, -7.7444
13, 30749, -4.4222
14, 1771842237, -8.0222
15, 36631, -4.2556
16, 1771835233, -7.6222
17, 29922, -4.5333
18, 1771840726, -7.6111
19, 31544, -4.7667
20, 1771851288, -7.6111
21, 41043, -4.3778
22, 1771830084, -7.4000
23, 28432, -6.1889
24, 1771896005, -7.4222
25, 68067, -5.7333
26, 1771859469, -6.8333
27, 35545, -5.9889
28, 1771830784, -6.4000
29, 36682, -2.1667
30, 1771835773, -5.4111
31, 43814, -0.5444
32, 1771891573, -6.2222
33, 43048, -4.0667
34, 1771844784, -6.5667
35, 32998, -4.1778
36, 1771844647, -7.2222
37, 44732, -4.4333
38, 1771860744, -7.3222
39, 44046, -1.4444
